本数据策略分享会专用，由邢不行整理，微信：xbx9585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
股票代码,财报日期,财报年份,财报季度,财报发布日期,R_一、营业总收入,R_营业收入,R_二、营业总成本,R_营业成本,R_营业税金及附加,R_销售费用,R_管理费用,R_财务费用,R_研发费用,R_资产减值损失,R_公允价值变动收益,R_投资收益,R_其中:对联营企业和合营企业的投资收益,R_汇兑收益,R_三、营业利润,R_加:营业外收入,R_减：营业外支出,R_其中：非流动资产处置损失,R_四、利润总额,R_减：所得税费用,R_五、净利润,R_归属于母公司所有者的净利润,R_少数股东损益,R_六、每股收益,R_基本每股收益(元/股),R_稀释每股收益(元/股),R_七、其他综合收益,R_八、综合收益总额,R_归属于母公司所有者的综合收益总额,R_归属于少数股东的综合收益总额,C_一、经营活动产生的现金流量,C_销售商品、提供劳务收到的现金,C_收到的税费返还,C_收到的其他与经营活动有关的现金,C_经营活动现金流入小计,C_购买商品、接受劳务支付的现金,C_支付给职工以及为职工支付的现金,C_支付的各项税费,C_支付的其他与经营活动有关的现金,C_经营活动现金流出小计,C_经营活动产生的现金流量净额,C_二、投资活动产生的现金流量,C_收回投资所收到的现金,C_取得投资收益所收到的现金,C_处置固定资产、无形资产和其他长期资产所收回的现金净额,C_处置子公司及其他营业单位收到的现金净额,C_收到的其他与投资活动有关的现金,C_投资活动现金流入小计,C_购建固定资产、无形资产和其他长期资产所支付的现金,C_投资所支付的现金,C_取得子公司及其他营业单位支付的现金净额,C_支付的其他与投资活动有关的现金,C_投资活动现金流出小计,C_投资活动产生的现金流量净额,C_三、筹资活动产生的现金流量,C_吸收投资收到的现金,C_其中：子公司吸收少数股东投资收到的现金,C_取得借款收到的现金,C_发行债券收到的现金,C_收到其他与筹资活动有关的现金,C_筹资活动现金流入小计,C_偿还债务支付的现金,C_分配股利、利润或偿付利息所支付的现金,C_其中：子公司支付给少数股东的股利、利润,C_支付其他与筹资活动有关的现金,C_筹资活动现金流出小计,C_筹资活动产生的现金流量净额,C_四、汇率变动对现金及现金等价物的影响,C_五、现金及现金等价物净增加额,C_加:期初现金及现金等价物余额,C_六、期末现金及现金等价物余额,C_附注,C_净利润,C_少数股东权益,C_未确认的投资损失,C_资产减值准备,C_固定资产折旧、油气资产折耗、生产性物资折旧,C_无形资产摊销,C_长期待摊费用摊销,C_待摊费用的减少,C_预提费用的增加,C_处置固定资产、无形资产和其他长期资产的损失,C_固定资产报废损失,C_公允价值变动损失,C_递延收益增加（减：减少）,C_预计负债,C_财务费用,C_投资损失,C_递延所得税资产减少,C_递延所得税负债增加,C_存货的减少,C_经营性应收项目的减少,C_经营性应付项目的增加,C_已完工尚未结算款的减少(减:增加),C_已结算尚未完工款的增加(减:减少),C_其他,C_经营活动产生现金流量净额,C_债务转为资本,C_一年内到期的可转换公司债券,C_融资租入固定资产,C_现金的期末余额,C_现金的期初余额,C_现金等价物的期末余额,C_现金等价物的期初余额,C_现金及现金等价物的净增加额,B_流动资产,B_货币资金,B_交易性金融资产,B_衍生金融资产,B_应收票据及应收账款,B_应收票据,B_应收账款,B_应收款项融资,B_预付款项,B_其他应收款(合计),B_应收利息,B_应收股利,B_其他应收款,B_买入返售金融资产,B_存货,B_划分为持有待售的资产,B_一年内到期的非流动资产,B_待摊费用,B_待处理流动资产损益,B_其他流动资产,B_流动资产合计,B_非流动资产,B_发放贷款及垫款,B_可供出售金融资产,B_持有至到期投资,B_长期应收款,B_长期股权投资,B_投资性房地产,B_在建工程(合计),B_在建工程,B_工程物资,B_固定资产及清理(合计),B_固定资产净额,B_固定资产清理,B_生产性生物资产,B_公益性生物资产,B_油气资产,B_使用权资产,B_无形资产,B_开发支出,B_商誉,B_长期待摊费用,B_递延所得税资产,B_其他非流动资产,B_非流动资产合计,B_资产总计,B_流动负债,B_短期借款,B_交易性金融负债,B_应付票据及应付账款,B_应付票据,B_应付账款,B_预收款项,B_应付手续费及佣金,B_应付职工薪酬,B_应交税费,B_其他应付款(合计),B_应付利息,B_应付股利,B_其他应付款,B_预提费用,B_一年内的递延收益,B_应付短期债券,B_一年内到期的非流动负债,B_其他流动负债,B_流动负债合计,B_非流动负债,B_长期借款,B_应付债券,B_租赁负债,B_长期应付职工薪酬,B_长期应付款(合计),B_长期应付款,B_专项应付款,B_预计非流动负债,B_递延所得税负债,B_长期递延收益,B_其他非流动负债,B_非流动负债合计,B_负债合计,B_所有者权益,B_实收资本(或股本),B_资本公积,B_减：库存股,B_其他综合收益,B_专项储备,B_盈余公积,B_一般风险准备,B_未分配利润,B_归属于母公司股东权益合计,B_少数股东权益,B_所有者权益(或股东权益)合计,B_负债和所有者权益(或股东权益)总计
sz000977,1997-12-31,1997,4,,601989034.8,600506935.4,538277158.6,457267862.6,1367080,27643162.56,37048853.06,14950200.36,0,0,0,1102733.84,0,0,73014610.07,690219.55,300361.6,0,73404468.02,7699561.57,65704906.45,42634148.45,23070758,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77835091.77,0,0,0,1680000,128690105.9,0,18066818.17,0,0,0,11320341.54,0,168015521.9,0,0,263936.84,0,0,399344989.9,,0,0,0,0,4283673.8,0,0,0,0,0,110905134,0,0,0,0,0,5570000,0,0,1003446.19,0,0,121810219,521155208.9,,80531048,0,0,12522100,165854385.7,16216394.54,0,7603835.85,-1334705.82,0,0,0,7621356.17,4020211.14,0,0,0,0,293059818.9,,0,0,0,0,0,0,0,0,0,0,0,798110.42,293857929.3,,163828874.3,0,0,0,0,0,0,0,163828874.3,63468405.32,227297279.7,521155208.9
sz000977,1998-12-31,1998,4,,434930903.6,434299023.1,414631105.9,327503389.9,2427697.71,35856792.25,34878565.49,13526786.72,0,437873.9,0,1800000,0,0,45536795.47,95601.31,643863.54,0,44988533.24,6402250.16,38586283.08,33441688.11,5144594.97,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57800943.25,0,0,0,1330000,112009402.8,0,13095733.25,0,0,0,16944374.58,0,158623493.2,0,0,3042395.33,0,0,357047516.3,,0,0,0,0,4375936.59,0,0,0,0,0,119284335,0,0,0,0,0,8464445,0,0,834566.14,0,0,133271488.9,490319005.2,,157929095,0,0,13616220,17116975.34,12195874.27,0,5724868.77,-4184064.38,0,0,1009597.71,19810403.42,2604796.06,0,0,0,0,225919253.8,,0,0,0,0,0,0,0,0,0,0,0,849898.34,226769152.2,,150000000,56159152.78,0,0,0,501423.2,0,2005692.8,208666268.8,54883584.26,263549853,490319005.2
sz000977,1999-12-31,1999,4,,395762280,394413968.1,345341798.3,270844656.9,3244904.1,39812619.2,29976090.92,1463527.2,0,0,0,2874993.28,0,0,54108771.15,1061137.34,745234.71,0,54424673.78,8086382.87,46338290.91,45349963.1,988327.81,,0,0,0,0,0,0,,428166427.3,813296.13,217093.12,429196816.5,329742930,22632100.98,8924994.57,46133638.17,407433663.8,21763152.76,,29301694.78,0,21967.31,0,320488.14,29644150.23,9686831.35,127199119.3,0,0,73286391,-43642240.77,,0,0,91000000,0,0,91000000,64713000,1873786.05,0,191538.93,66778324.98,24221675.02,0,2342587.01,57800943.25,60143530.26,,45349963.1,988327.81,0,2763800.04,6082662.57,251134.45,0,1671950.31,-139704.77,0,0,0,0,0,1463527.2,-2874993.28,0,0,-15986140.16,-32027592.44,26469416.34,0,0,-12249198.41,21763152.76,0,0,0,60143530.26,57800943.25,0,0,2342587.01,,60143530.26,0,0,0,1000000,75418656.33,0,14632597.91,0,0,0,19194302.27,0,63030757.62,0,0,1370445.02,0,0,228269564.9,,0,0,0,0,72020531.87,0,0,0,0,0,81524696.36,0,0,0,0,0,0,0,0,992957.02,0,0,154631586.6,382901151.5,,39720000,0,0,19838105.3,23308754.67,11878100.56,0,1802230.09,16359569.12,0,0,15000000,7623258.63,116755.99,0,0,0,0,135657357.2,,0,0,0,0,0,0,0,0,0,0,0,0,135657357.2,,150000000,56159152.78,0,0,0,9571415.82,0,23285663.28,239016231.9,8227562.42,247243794.3,382901151.5
sz000977,2000-6-30,2000,2,2000-8-14,231868593.5,228365869.4,209889253.5,158145184.6,975544.1,27226582.43,22910216.12,631726.26,0,0,0,1682587.41,0,0,24270187.06,1721836,216020.41,0,25776002.65,3717260.31,22058742.34,22305764.19,-247021.85,,0,0,0,0,0,0,,257542125.2,38950072.55,34956114.99,331448312.7,265325775.6,14530836.06,49399657.17,64157844.93,393414113.8,-61965801.1,,40000,0,678024.41,0,25860,743884.41,5996525.49,2630000,0,865133.21,9491658.7,-8747774.29,,541510239.9,0,172000000,0,9754999.63,723265239.5,204720000,17346407.25,0,0,222066407.3,501198832.3,0,430485256.9,60143530.26,490628787.1,,22305764.19,-247021.85,0,1262607.96,3912883.73,48517.5,0,-2563430.45,1322239.04,976.81,52503.05,0,0,0,631726.26,-1682587.41,0,0,-41152681.79,-65504610.57,13426275.35,0,0,12772985.55,-61965801.1,0,0,0,490628787.1,60143530.26,0,0,430485256.9,,490628787.1,0,0,0,2186200,121306344.4,0,32340520.95,0,0,0,19917101.72,0,104183439.4,0,0,2065212.77,0,0,764845934,,0,0,0,0,59193119.28,0,0,0,0,0,84963736.09,0,0,0,0,0,5773582.5,0,0,2861619.72,0,0,153095700.3,917941634.2,,7000000,0,0,38401543,30737648.95,6846976.21,0,2176239.33,13113452.43,0,0,0,14942079.55,1438995.03,0,0,0,0,114439754.9,,0,0,0,0,0,0,0,0,0,0,0,0,114439754.9,,215000000,472458548.5,0,0,0,9571415.82,0,45591427.47,742621391.8,60880487.54,803501879.3,917941634.2
sz000977,2000-12-31,2000,4,2001-3-13,817038049.7,814470312.5,744771887.6,606612372,2909972.75,76090477.06,59523419.52,-364353.73,0,0,0,4795902.79,0,0,84271019.5,1967670.15,342078.94,0,85896610.71,13757738.41,72138872.3,59742423.79,12396448.51,,0,0,0,0,0,0,,813584820.8,7208954.63,356465.84,821150241.3,668000203.7,37727983.42,30769570.3,73165358.99,809663116.5,11487124.85,,15150000,0,1894147.72,0,1517390.17,18561537.89,42222539.78,0,0,4822873.89,47045413.67,-28483875.78,,647282404.2,0,32000000,0,13523621.03,692806025.2,39000000,19656605.12,0,20297244.93,78953850.05,613852175.1,0,596855424.2,60143530.26,656998954.5,,60276156.05,12396448.51,0,1591315.32,9372439.94,1342091.24,0,160768.45,1103491.61,0,0,0,0,0,-364353.73,-5329635.05,0,0,-96915229.19,-16795017.79,44648649.49,0,0,0,11487124.85,0,0,0,656998954.5,60143530.26,0,0,596855424.2,,656998954.5,3797873.89,0,0,870000,89666122.45,0,45715974.92,0,0,0,32157189,0,160462856,0,0,1226107.57,0,0,990895078.3,,0,0,0,0,62034558.56,0,0,471282.6,0,0,100974649.4,0,0,0,0,0,7232432.5,0,0,5751296.36,0,355511.13,176819730.5,1167714809,,0,0,0,45193760,67487831.77,28834488.05,0,4896540.43,21217464.25,0,0,21500000,7584890.93,1220247.6,0,0,0,0,198134496.6,,5000000,0,0,0,0,27720000,0,0,0,0,0,39164817.23,237299313.8,,215000000,502073933.1,0,0,0,20763900.56,0,46555602.33,784393436,146022059,930415495,1167714809
sz000977,2001-6-30,2001,2,2001-7-28,383956277.9,370138752.2,336620915.1,259660040.8,1654533.44,26929930.77,49109771.15,-733361.13,0,0,0,244206.06,0,0,49163652.39,1879699.5,171558.64,0,50871793.25,6603623.09,44268170.16,31668706.71,12599463.45,,0,0,0,0,0,0,,374744399.1,1584699.51,33819964.89,410149063.5,279632712.6,26719214.96,29160755.59,64986613.56,400499296.7,9649766.82,,3513290,1153267.9,71872.96,0,11056.45,4749487.31,53453621.37,141537383.4,0,0,194991004.7,-190241517.4,,0,0,35000000,0,3029842.92,38029842.92,0,29460000,0,2256481.79,31716481.79,6313361.13,0,-174278389.5,656998954.5,482720565,,31668706.71,12599463.45,0,0,4019109.41,564908.87,1447931.54,876630.33,-171003.08,-1539.42,0,0,0,0,-733361.13,-12560459.25,0,0,-8925234.95,9410534.64,-20923673.66,0,0,-7622246.64,9649766.82,0,0,0,482720565,656998954.5,0,0,-174278389.5,,482720565,284583.89,0,0,2040100,72882525.23,0,38273655.9,0,0,0,26563749.61,0,166254716.8,0,0,349477.24,0,0,789369373.6,,0,0,0,0,238929371.8,0,0,12635030.02,0,0,116155905.8,0,0,0,0,0,4948893.44,0,0,9789322.98,0,0,382458524,1171827898,,35000000,0,0,31887490.01,60038120.85,26948463.09,0,5356760.59,13833771.38,0,0,0,3419438.95,1049244.52,0,0,0,0,177685840.2,,0,0,0,0,0,0,0,0,0,0,32953612.92,32953612.92,210639453.1,,215000000,502073933.1,0,0,0,20870647.02,0,78651294.84,816595875,144592569.6,961188444.6,1171827898
sz000977,2001-12-31,2001,4,2002-4-22,824929473,797255319.5,795725748.9,614403093.8,4370170.19,78926621.84,102098449.3,-4072586.22,0,0,0,5148521.32,0,0,50659736.88,1768108.53,662523.72,0,51765321.69,3441301.26,48324020.43,43322756.28,5001264.15,,0,0,0,0,0,0,,945582415.9,16307491.48,222679096.3,1184569004,886565669.2,64533506.53,56430114.42,99935474.44,1107464765,77104239.1,,6179785.62,643843.6,458067.4,0,0,7281696.62,110128240.7,320485984.8,0,0,430614225.6,-423332528.9,,0,0,8000000,0,13467.13,8013467.13,4960000,22025855.58,0,0,26985855.58,-18972388.45,0,-365200678.3,656998954.5,291798276.2,,43322756.28,0,0,1864181.17,12516525.07,582210,3965583.35,1011558.36,-1116745.61,361791.85,0,0,0,0,479471.56,-5148521.32,0,0,-4005573.71,47581582.52,-23852513.02,0,0,0,77104239.1,0,0,0,291798276.2,656998954.5,0,0,-365200678.3,,291798276.2,284583.89,0,0,2181930,55279214.37,0,249611961.4,0,0,7090490.02,43625551.55,0,164019924.1,0,0,214549.21,0,0,814106480.7,,0,0,0,0,88526786.11,0,0,19353371.03,0,0,120285676.5,-15801.03,0,0,0,0,11682684.39,0,0,8551405.5,0,0,297658133.2,1111764614,,3040000,0,0,21212155.2,69172042.78,27174621.45,0,6510187.24,7524123.66,0,0,21500000,15279171.06,103501.99,0,0,5000000,0,176779550.3,,0,0,0,0,0,0,29220000,0,0,0,0,34053612.92,210833163.2,,215000000,502361815.8,0,0,0,29774235.9,0,59368023.27,806504075,94427375.7,900931450.7,1111764614
sz000977,2002-3-31,2002,1,2002-4-26,0,0,0,0,0,8883449.09,13830634.21,-667200.15,0,0,0,4849173,0,0,-3783379.01,418220.63,41140.34,0,1828771.88,527113.82,0,2873114.67,-1571456.61,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288484280.6,0,0,0,0,52811802.61,0,0,0,0,0,68842531.6,0,0,0,0,0,0,0,791795874.8,,0,0,0,0,103258741.6,0,0,0,0,0,0,0,0,0,0,0,21578040.52,0,0,0,0,0,0,1092237356,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165545251.4,,0,0,0,0,0,0,0,0,0,0,0,34050811.84,0,,0,0,0,0,0,0,0,0,809377189.7,83264103.31,0,1092237356
sz000977,2002-6-30,2002,2,2002-8-16,399885072,390784711.1,389700968.5,338734422.9,1293453.31,20355038.4,30817516.99,-1499463.12,0,0,0,6359221.77,0,0,17862742.94,49218.52,210958.42,0,17701003.04,639932.03,17061071.01,17081748.99,-20677.98,,0,0,0,0,0,0,,443582550.4,1319417.65,14846073.27,459748041.3,388758947.3,24242102.67,16604766.18,42676924.19,472282740.3,-12534699.02,,10148416.3,3500000,5129322.6,0,0,18777738.9,7678612.45,2420934.75,0,0,10099547.2,8678191.7,,0,0,100000000,0,3000000,103000000,0,0,0,0,0,103000000,0,99143492.68,291798276.2,390941768.9,,17081748.99,0,0,-1209557.54,5772630.04,291105,1144572.88,-352682.5,347923.28,15326.12,0,0,0,0,0,-6359221.77,0,0,3814346.9,-22124982.65,-10955907.77,0,0,0,-12534699.02,0,0,0,390941768.9,291798276.2,0,0,99143492.68,,390941768.9,242539.4,0,0,1661559,48617709.23,0,222852602.8,0,0,3590490.02,65189214.79,0,160205577.2,0,0,567231.71,0,0,893868693,,0,0,0,0,106218383.6,0,0,29154333.46,0,0,130308329.8,2169.74,0,0,0,0,4657788.44,0,0,15364553.22,0,0,328968766.5,1222837460,,100000000,0,0,28285894.8,92662332.26,19431425.9,0,3601091.37,-2411776.55,0,0,21500000,16184383.8,451425.27,0,0,0,0,279943100.9,,0,0,0,0,0,0,30500000,0,0,0,0,30500000,310443100.9,,215000000,507195428.7,0,0,0,29774235.9,0,76449772.26,828419436.9,83974921.72,912394358.6,1222837460
sz000977,2002-9-30,2002,3,2002-10-29,574425893.6,563502738.2,561319560.2,483597269.3,1877800.66,31026515.79,46856724.44,-2038749.95,0,0,0,11547937.29,0,0,26226017.56,210019.52,241018.11,0,26195018.97,876017.54,25319001.43,25245358.55,73642.88,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247060648.5,242539.4,0,0,3935568,62511949.02,0,216386059.7,0,0,0,117117039.3,0,153098195.4,0,0,369819.96,0,0,800721819.3,,0,0,0,0,69534280.51,0,0,47466963.37,0,0,127968830.6,69.83,0,0,0,0,4512235.94,0,0,14885135.68,0,0,306482143.4,1107203963,,0,0,0,27493078,82046225.05,22379773.98,0,3667277.66,-1270881.96,0,0,200000,20753396.55,548665.08,0,0,0,0,156051673.6,,0,0,0,0,0,0,30500000,0,0,0,0,30500000,186551673.6,,215000000,507195428.7,0,0,0,29774235.9,0,84613381.82,836583046.5,84069242.56,920652289,1107203963
